folder,pdf_id,ref_link,pdf_url
1,1004,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/1004,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/1004/filename/folder_0001.pdf/mapsto/pdf/type/singleitem/folder_0001.pdf
2,1002,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/1002,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/1002/filename/folder_0002.pdf/mapsto/pdf/type/singleitem/folder_0002.pdf
3,995,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/995,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/995/filename/folder_0003.pdf/mapsto/pdf/type/singleitem/folder_0003.pdf
4,982,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/982,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/982/filename/folder_0004.pdf/mapsto/pdf/type/singleitem/folder_0004.pdf
5,927,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/927,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/927/filename/folder_0005.pdf/mapsto/pdf/type/singleitem/folder_0005.pdf
6,949,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/949,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/949/filename/folder_0006.pdf/mapsto/pdf/type/singleitem/folder_0006.pdf
7,965,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/965,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/965/filename/folder_0007.pdf/mapsto/pdf/type/singleitem/folder_0007.pdf
8,911,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/911,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/911/filename/folder_0008.pdf/mapsto/pdf/type/singleitem/folder_0008.pdf
9,921,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/921,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/921/filename/folder_0009.pdf/mapsto/pdf/type/singleitem/folder_0009.pdf
10,1000,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/1000,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/1000/filename/folder_0010.pdf/mapsto/pdf/type/singleitem/folder_0010.pdf
11,988,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/988,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/988/filename/folder_0011.pdf/mapsto/pdf/type/singleitem/folder_0011.pdf
12,1016,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/1016,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/1016/filename/folder_0012.pdf/mapsto/pdf/type/singleitem/folder_0012.pdf
13,964,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/964,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/964/filename/folder_0013.pdf/mapsto/pdf/type/singleitem/folder_0013.pdf
14,996,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/996,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/996/filename/folder_0014.pdf/mapsto/pdf/type/singleitem/folder_0014.pdf
15,962,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/962,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/962/filename/folder_0015.pdf/mapsto/pdf/type/singleitem/folder_0015.pdf
16,951,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/951,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/951/filename/folder_0016.pdf/mapsto/pdf/type/singleitem/folder_0016.pdf
17,916,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/916,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/916/filename/folder_0017.pdf/mapsto/pdf/type/singleitem/folder_0017.pdf
18,929,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/929,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/929/filename/folder_0018.pdf/mapsto/pdf/type/singleitem/folder_0018.pdf
19,883,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/883,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/883/filename/folder_0019.pdf/mapsto/pdf/type/singleitem/folder_0019.pdf
20,863,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/863,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/863/filename/folder_0020.pdf/mapsto/pdf/type/singleitem/folder_0020.pdf
21,865,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/865,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/865/filename/folder_0021.pdf/mapsto/pdf/type/singleitem/folder_0021.pdf
22,947,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/947,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/947/filename/folder_0022.pdf/mapsto/pdf/type/singleitem/folder_0022.pdf
23,877,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/877,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/877/filename/folder_0023.pdf/mapsto/pdf/type/singleitem/folder_0023.pdf
24,987,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/987,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/987/filename/folder_0024.pdf/mapsto/pdf/type/singleitem/folder_0024.pdf
25,933,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/933,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/933/filename/folder_0025.pdf/mapsto/pdf/type/singleitem/folder_0025.pdf
26,884,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/884,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/884/filename/folder_0026.pdf/mapsto/pdf/type/singleitem/folder_0026.pdf
27,662,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/662,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/662/filename/folder_0027.pdf/mapsto/pdf/type/singleitem/folder_0027.pdf
28,939,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/939,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/939/filename/folder_0028.pdf/mapsto/pdf/type/singleitem/folder_0028.pdf
29,898,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/898,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/898/filename/folder_0029.pdf/mapsto/pdf/type/singleitem/folder_0029.pdf
30,912,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/912,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/912/filename/folder_0030.pdf/mapsto/pdf/type/singleitem/folder_0030.pdf
31,869,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/869,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/869/filename/folder_0031.pdf/mapsto/pdf/type/singleitem/folder_0031.pdf
32,1008,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/1008,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/1008/filename/folder_0032.pdf/mapsto/pdf/type/singleitem/folder_0032.pdf
33,948,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/948,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/948/filename/folder_0033.pdf/mapsto/pdf/type/singleitem/folder_0033.pdf
34,870,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/870,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/870/filename/folder_0034.pdf/mapsto/pdf/type/singleitem/folder_0034.pdf
35,1003,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/1003,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/1003/filename/folder_0035.pdf/mapsto/pdf/type/singleitem/folder_0035.pdf
36,1017,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/1017,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/1017/filename/folder_0036.pdf/mapsto/pdf/type/singleitem/folder_0036.pdf
37,937,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/937,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/937/filename/folder_0037.pdf/mapsto/pdf/type/singleitem/folder_0037.pdf
38,1018,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/1018,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/1018/filename/folder_0038.pdf/mapsto/pdf/type/singleitem/folder_0038.pdf
39,957,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/957,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/957/filename/folder_0039.pdf/mapsto/pdf/type/singleitem/folder_0039.pdf
40,860,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/860,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/860/filename/folder_0040.pdf/mapsto/pdf/type/singleitem/folder_0040.pdf
41,989,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/989,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/989/filename/folder_0041.pdf/mapsto/pdf/type/singleitem/folder_0041.pdf
42,975,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/975,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/975/filename/folder_0042.pdf/mapsto/pdf/type/singleitem/folder_0042.pdf
43,659,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/659,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/659/filename/folder_0043.pdf/mapsto/pdf/type/singleitem/folder_0043.pdf
44,969,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/969,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/969/filename/folder_0044.pdf/mapsto/pdf/type/singleitem/folder_0044.pdf
45,867,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/867,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/867/filename/folder_0045.pdf/mapsto/pdf/type/singleitem/folder_0045.pdf
46,924,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/924,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/924/filename/folder_0046.pdf/mapsto/pdf/type/singleitem/folder_0046.pdf
47,981,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/981,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/981/filename/folder_0047.pdf/mapsto/pdf/type/singleitem/folder_0047.pdf
48,861,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/861,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/861/filename/folder_0048.pdf/mapsto/pdf/type/singleitem/folder_0048.pdf
49,992,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/992,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/992/filename/folder_0049.pdf/mapsto/pdf/type/singleitem/folder_0049.pdf
50,875,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/875,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/875/filename/folder_0050.pdf/mapsto/pdf/type/singleitem/folder_0050.pdf
51,979,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/979,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/979/filename/folder_0051.pdf/mapsto/pdf/type/singleitem/folder_0051.pdf
52,910,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/910,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/910/filename/folder_0052.pdf/mapsto/pdf/type/singleitem/folder_0052.pdf
53,887,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/887,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/887/filename/folder_0053.pdf/mapsto/pdf/type/singleitem/folder_0053.pdf
54,942,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/942,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/942/filename/folder_0054.pdf/mapsto/pdf/type/singleitem/folder_0054.pdf
55,873,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/873,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/873/filename/folder_0055.pdf/mapsto/pdf/type/singleitem/folder_0055.pdf
56,1022,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/1022,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/1022/filename/folder_0056.pdf/mapsto/pdf/type/singleitem/folder_0056.pdf
