id,writer
interview_0001_001,George S. Barnard
interview_0002_001,Annie L. Bowman
interview_0003_001,Annie L. Bowman
interview_0004_001,Maude Cain
interview_0005_001,Maude Cain
interview_0006_001,Luther Clark
interview_0007_001,Victoria Coleman
interview_0008_001,Gertha Couric
interview_0009_001,Gertha Couric
interview_0010_001,Gertha Couric
interview_0011_001,Gertha Couric
interview_0012_001,Gertha Couric
interview_0013_001,Gertha Couric
interview_0014_001,Gertha Couric
interview_0015_001,Gertha Couric
interview_0016_001,Gertha Couric
interview_0017_001,Gertha Couric
interview_0018_001,Gertha Couric
interview_0019_001,Francois L. Diard
interview_0020_001,Noma Dobson
interview_0021_001,Charles M. Donigan
interview_0022_001,Lawrence F. Evans
interview_0023_001,Lawrence F. Evans
interview_0024_001,Lawrence F. Evans
interview_0025_001,Lawrence F. Evans
interview_0026_001,Lawrence F. Evans
interview_0027_001,Lawrence F. Evans
interview_0028_001,Covington Hall
interview_0029_001,Covington Hall
interview_0030_001,Covington Hall
interview_0031_001,Covington Hall
interview_0032_001,Woodrow Hand
interview_0033_001,Woodrow Hand
interview_0034_001,Edward F. Harper
interview_0035_001,Helen S. Hartley
interview_0036_001,Wilson L. Heflin
interview_0037_001,Wilson L. Heflin
interview_0038_001,Preston Klein
interview_0039_001,Jack Kytle
interview_0040_001,Jack Kytle
interview_0041_001,Jack Kytle
interview_0042_001,Jack Kytle
interview_0043_001,Jack Kytle
interview_0044_001,Jack Kytle
interview_0045_001,Jack Kytle
interview_0046_001,Jack Kytle
interview_0047_001,Jack Kytle
interview_0048_001,Jack Kytle
interview_0049_001,Jack Kytle
interview_0050_001,Jack Kytle
interview_0051_001,Nettie S. McDonald
interview_0052_001,Nettie S. McDonald
interview_0053_001,Nettie S. McDonald
interview_0054_001,Nettie S. McDonald
interview_0055_001,Nettie S. McDonald
interview_0056_001,Bennett Marshall
interview_0057_001,Susie R. O'Brien
interview_0058_001,Susie R. O'Brien
interview_0059_001,Rhussus L. Perry
interview_0060_001,Rhussus L. Perry
interview_0061_001,Rhussus L. Perry
interview_0062_001,Josephine Petterson
interview_0063_001,Ila B. Prine
interview_0064_001,Ila B. Prine
interview_0065_001,Ila B. Prine
interview_0066_001,Ila B. Prine
interview_0067_001,Ila B. Prine
interview_0068_001,Ila B. Prine
interview_0069_001,Marie Reese
interview_0070_001,Adelaide Rogers
interview_0071_001,Adelaide Rogers
interview_0072_001,Adelaide Rogers
interview_0073_001,Ruby Pickens Tartt
interview_0074_001,Ruby Pickens Tartt
interview_0075_001,Ruby Pickens Tartt
interview_0076_001,Ruby Pickens Tartt
interview_0077_001,R. V. Waldrep
interview_0078_001,R. V. Waldrep
